iteration,total_energy,average_temp,potential_energy
0,-7371.76,375.444,-7475.26
1,-7351.89,405.008,-7446.31
2,-7331.23,440.762,-7453.59
3,-7310.6,477.295,-7439.12
4,-7290.05,507.667,-7423.4
5,-7269.52,541.127,-7412.31
6,-7248.95,576.519,-7401.36
7,-7228.35,611.323,-7389.57
8,-7207.74,640.7,-7376.36
9,-7187.16,673.67,-7361.11
10,-7166.63,703.058,-7352.19
11,-7146,730.55,-7339.57
12,-7125.47,758.966,-7325.2
13,-7104.91,786.592,-7312.22
14,-7084.3,811.647,-7297.03
15,-7063.81,828.857,-7282.56
16,-7043.14,853.881,-7274.69
17,-7022.61,861.36,-7249.03
18,-7002.1,863.032,-7231.33
19,-6981.44,872.434,-7207.02
20,-6960.98,871.856,-7187.21
21,-6940.42,867.293,-7169.32
22,-6919.77,873.598,-7153.34
23,-6899.13,893.291,-7139.83
24,-6878.67,921.03,-7125.49
25,-6858.04,950.534,-7107.66
