iteration,total_energy,average_temp,potential_energy
0,-23474.5,413.507,-23822.3
1,-23409.5,449.715,-23812.7
2,-23344,497.123,-23741.7
3,-23278.6,527.579,-23713.8
4,-23214.3,558.624,-23686.3
5,-23148.4,590.168,-23598.4
6,-23083.3,625.767,-23578.9
7,-23018,653.848,-23549.2
8,-22952.7,682.682,-23532.1
9,-22887.5,716.617,-23503.3
10,-22822.3,745.952,-23458.1
11,-22757,779.394,-23405.9
12,-22691.8,808.973,-23367.8
13,-22626.6,835.523,-23330.1
14,-22561.3,857.043,-23274.2
15,-22496.1,885.935,-23245.5
16,-22430.8,907.938,-23184.9
17,-22365.7,927.546,-23135.5
18,-22300.4,940.203,-23073.8
19,-22235.1,945.355,-23002.9
20,-22169.8,947.575,-22962.4
21,-22104.4,958.38,-22896.3
