iteration,total_energy,average_temp,potential_energy
0,-3236.63,543.169,-3301.56
1,-3227.31,574.38,-3295.58
2,-3217.93,608.672,-3290.33
3,-3209,637.201,-3285.87
4,-3199.6,665.244,-3281.2
5,-3190.49,692.68,-3271.78
6,-3181.73,711.451,-3266.25
7,-3172.24,740.31,-3259.64
8,-3162.85,753.924,-3252.44
9,-3153.29,772.431,-3246
10,-3144.95,791.173,-3235.78
11,-3134.71,800.184,-3223.78
12,-3126.14,808.293,-3222.26
13,-3116.98,840.145,-3218.6
14,-3108.01,849.858,-3208.07
15,-3097.8,859.783,-3199.14
16,-3088.77,858.022,-3193.79
17,-3079.99,877.288,-3185.01
18,-3071.03,899.208,-3180.56
19,-3061.98,925.228,-3172.13
20,-3052.83,957.385,-3164.46
21,-3043.09,988.093,-3161.37
22,-3033.6,1015.93,-3150.16
23,-3024.18,1038.91,-3151.34
24,-3014.96,1066.29,-3139.55
25,-3006.49,1094.4,-3140.8
