iteration,total_energy,average_temp,potential_energy
0,-5032.93,429.956,-5111.64
1,-5018.97,462.214,-5087.41
2,-5004.7,497.57,-5090.7
3,-4990.54,527.567,-5087.95
4,-4976.41,560.227,-5081.36
5,-4962.26,594.134,-5071.76
6,-4948.09,626.934,-5065.27
7,-4933.96,655.155,-5056.47
8,-4919.76,687.905,-5043.5
9,-4905.66,714.597,-5039.17
10,-4891.51,743.797,-5028.26
11,-4877.37,761.523,-5015.58
12,-4863.22,789.282,-5009.39
13,-4849.07,816.513,-4997.6
14,-4834.85,831.983,-4986.09
15,-4820.78,853.081,-4981.48
16,-4806.59,864.357,-4962.39
17,-4792.49,859.433,-4946.97
18,-4778.28,851.569,-4930.64
19,-4764.21,870.746,-4919.02
20,-4750,882.213,-4908.1
21,-4735.82,884.272,-4894.15
22,-4721.74,912.622,-4889.4
23,-4707.59,936.536,-4875.68
24,-4693.43,965.249,-4874.19
25,-4679.2,988.2,-4859.91
