iteration,total_energy,potential_energy
0,-3342.86,-3342.86
10,-3342.62,-3343.81
20,-3343.39,-3345.44
30,-3344.78,-3347.22
40,-3346.41,-3348.95
50,-3348.07,-3350.57
60,-3349.65,-3352.07
70,-3351.13,-3353.43
80,-3352.49,-3354.69
90,-3353.75,-3355.85
100,-3354.9,-3356.92
110,-3355.97,-3357.91
120,-3356.96,-3358.82
130,-3357.88,-3359.68
140,-3358.73,-3360.47
150,-3359.53,-3361.21
160,-3360.27,-3361.91
170,-3360.96,-3362.56
180,-3361.61,-3363.17
190,-3362.23,-3363.75
200,-3362.81,-3364.29
210,-3363.35,-3364.82
220,-3363.87,-3365.31
230,-3364.37,-3365.79
240,-3364.85,-3366.24
250,-3365.3,-3366.68
260,-3365.74,-3367.1
270,-3366.15,-3367.5
280,-3366.55,-3367.88
290,-3366.94,-3368.25
300,-3367.31,-3368.6
310,-3367.66,-3368.94
320,-3368,-3369.27
330,-3368.32,-3369.58
340,-3368.63,-3369.88
350,-3368.93,-3370.16
360,-3369.21,-3370.43
370,-3369.48,-3370.69
380,-3369.74,-3370.93
390,-3369.98,-3371.16
400,-3370.21,-3371.38
410,-3370.43,-3371.59
420,-3370.64,-3371.78
430,-3370.83,-3371.97
440,-3371.01,-3372.14
450,-3371.19,-3372.3
460,-3371.35,-3372.45
470,-3371.5,-3372.59
480,-3371.64,-3372.72
490,-3371.77,-3372.84
500,-3371.89,-3372.95
510,-3372,-3373.05
520,-3372.1,-3373.15
530,-3372.19,-3373.23
540,-3372.28,-3373.31
550,-3372.35,-3373.37
560,-3372.42,-3373.43
570,-3372.48,-3373.48
580,-3372.52,-3373.52
590,-3372.57,-3373.56
600,-3372.6,-3373.58
610,-3372.63,-3373.6
620,-3372.65,-3373.62
630,-3372.66,-3373.62
640,-3372.66,-3373.62
650,-3372.66,-3373.61
660,-3372.65,-3373.59
670,-3372.63,-3373.57
680,-3372.61,-3373.54
690,-3372.58,-3373.5
700,-3372.55,-3373.46
710,-3372.5,-3373.42
720,-3372.46,-3373.36
730,-3372.4,-3373.3
740,-3372.34,-3373.24
750,-3372.28,-3373.17
760,-3372.21,-3373.1
770,-3372.14,-3373.02
780,-3372.06,-3372.93
790,-3371.97,-3372.85
800,-3371.89,-3372.76
810,-3371.79,-3372.66
820,-3371.7,-3372.56
830,-3371.6,-3372.46
840,-3371.5,-3372.35
850,-3371.39,-3372.25
860,-3371.28,-3372.14
870,-3371.17,-3372.02
880,-3371.06,-3371.91
890,-3370.95,-3371.79
900,-3370.83,-3371.68
910,-3370.72,-3371.56
920,-3370.6,-3371.45
930,-3370.49,-3371.33
940,-3370.37,-3371.22
950,-3370.26,-3371.11
960,-3370.15,-3371
970,-3370.04,-3370.9
980,-3369.94,-3370.8
990,-3369.85,-3370.71
1000,-3369.76,-3370.63
1010,-3369.67,-3370.55
1020,-3369.6,-3370.49
1030,-3369.54,-3370.44
1040,-3369.49,-3370.4
1050,-3369.45,-3370.37
1060,-3369.42,-3370.36
1070,-3369.41,-3370.36
1080,-3369.41,-3370.38
1090,-3369.43,-3370.41
1100,-3369.46,-3370.45
1110,-3369.5,-3370.51
1120,-3369.56,-3370.58
1130,-3369.63,-3370.66
1140,-3369.71,-3370.75
1150,-3369.8,-3370.85
1160,-3369.9,-3370.96
1170,-3370.01,-3371.07
1180,-3370.12,-3371.19
1190,-3370.24,-3371.31
1200,-3370.37,-3371.44
1210,-3370.49,-3371.56
1220,-3370.62,-3371.69
1230,-3370.74,-3371.82
1240,-3370.87,-3371.95
1250,-3371,-3372.07
1260,-3371.12,-3372.19
1270,-3371.24,-3372.31
1280,-3371.36,-3372.43
1290,-3371.48,-3372.54
1300,-3371.59,-3372.65
1310,-3371.7,-3372.75
1320,-3371.8,-3372.85
1330,-3371.9,-3372.94
1340,-3371.99,-3373.03
1350,-3372.07,-3373.11
1360,-3372.15,-3373.18
1370,-3372.23,-3373.25
1380,-3372.29,-3373.31
1390,-3372.36,-3373.37
1400,-3372.41,-3373.41
1410,-3372.46,-3373.45
1420,-3372.5,-3373.49
1430,-3372.53,-3373.52
1440,-3372.56,-3373.54
1450,-3372.58,-3373.55
1460,-3372.59,-3373.56
1470,-3372.6,-3373.56
1480,-3372.6,-3373.55
1490,-3372.59,-3373.53
1500,-3372.57,-3373.51
1510,-3372.55,-3373.48
1520,-3372.52,-3373.44
1530,-3372.48,-3373.4
1540,-3372.44,-3373.35
1550,-3372.39,-3373.29
1560,-3372.33,-3373.23
1570,-3372.27,-3373.16
1580,-3372.2,-3373.08
1590,-3372.12,-3373
1600,-3372.04,-3372.91
1610,-3371.95,-3372.81
1620,-3371.85,-3372.71
1630,-3371.75,-3372.6
1640,-3371.64,-3372.49
1650,-3371.52,-3372.37
1660,-3371.4,-3372.24
1670,-3371.28,-3372.11
1680,-3371.15,-3371.98
1690,-3371.01,-3371.84
1700,-3370.88,-3371.7
1710,-3370.74,-3371.56
1720,-3370.6,-3371.42
1730,-3370.46,-3371.28
1740,-3370.32,-3371.15
1750,-3370.19,-3371.02
1760,-3370.06,-3370.9
1770,-3369.95,-3370.8
1780,-3369.85,-3370.72
1790,-3369.77,-3370.66
1800,-3369.71,-3370.62
1810,-3369.68,-3370.61
1820,-3369.67,-3370.62
1830,-3369.68,-3370.67
1840,-3369.73,-3370.73
1850,-3369.8,-3370.83
1860,-3369.89,-3370.94
1870,-3370,-3371.06
1880,-3370.12,-3371.2
1890,-3370.26,-3371.35
1900,-3370.41,-3371.5
1910,-3370.56,-3371.66
1920,-3370.71,-3371.81
1930,-3370.86,-3371.95
1940,-3371.01,-3372.1
1950,-3371.15,-3372.23
1960,-3371.28,-3372.36
1970,-3371.41,-3372.48
1980,-3371.53,-3372.59
1990,-3371.64,-3372.69
2000,-3371.74,-3372.79
2010,-3371.74,-3372.87
2020,-3371.74,-3372.95
2030,-3371.74,-3373.02
2040,-3371.74,-3373.08
2050,-3371.74,-3373.13
2060,-3371.74,-3373.17
2070,-3371.74,-3373.19
2080,-3371.74,-3373.21
2090,-3371.74,-3373.21
2100,-3371.73,-3373.2
2110,-3371.73,-3373.18
2120,-3371.73,-3373.16
2130,-3371.73,-3373.12
2140,-3371.73,-3373.08
2150,-3371.73,-3373.03
2160,-3371.73,-3372.98
2170,-3371.73,-3372.93
2180,-3371.73,-3372.88
2190,-3371.73,-3372.82
2200,-3371.73,-3372.77
2210,-3371.73,-3372.71
2220,-3371.73,-3372.66
2230,-3371.73,-3372.62
2240,-3371.73,-3372.57
2250,-3371.73,-3372.53
2260,-3371.73,-3372.5
2270,-3371.73,-3372.47
2280,-3371.73,-3372.45
2290,-3371.73,-3372.43
2300,-3371.74,-3372.41
2310,-3371.74,-3372.41
2320,-3371.74,-3372.41
2330,-3371.74,-3372.41
2340,-3371.74,-3372.42
2350,-3371.74,-3372.43
2360,-3371.74,-3372.45
2370,-3371.74,-3372.48
2380,-3371.74,-3372.5
2390,-3371.74,-3372.54
2400,-3371.74,-3372.57
2410,-3371.74,-3372.6
2420,-3371.74,-3372.64
2430,-3371.74,-3372.67
2440,-3371.74,-3372.71
2450,-3371.74,-3372.75
2460,-3371.74,-3372.78
2470,-3371.74,-3372.81
2480,-3371.74,-3372.84
2490,-3371.74,-3372.87
2500,-3371.74,-3372.89
2510,-3371.74,-3372.91
2520,-3371.74,-3372.93
2530,-3371.74,-3372.94
2540,-3371.74,-3372.95
2550,-3371.74,-3372.96
2560,-3371.74,-3372.96
2570,-3371.74,-3372.95
2580,-3371.73,-3372.94
2590,-3371.73,-3372.92
2600,-3371.73,-3372.91
2610,-3371.73,-3372.88
2620,-3371.73,-3372.86
2630,-3371.73,-3372.83
2640,-3371.73,-3372.8
2650,-3371.73,-3372.76
2660,-3371.73,-3372.73
2670,-3371.73,-3372.69
2680,-3371.73,-3372.65
2690,-3371.73,-3372.62
2700,-3371.73,-3372.58
2710,-3371.73,-3372.54
2720,-3371.73,-3372.51
2730,-3371.73,-3372.48
2740,-3371.73,-3372.45
2750,-3371.73,-3372.43
2760,-3371.73,-3372.41
2770,-3371.73,-3372.39
2780,-3371.74,-3372.38
2790,-3371.74,-3372.38
2800,-3371.74,-3372.38
2810,-3371.74,-3372.39
2820,-3371.74,-3372.41
2830,-3371.74,-3372.44
2840,-3371.74,-3372.47
2850,-3371.74,-3372.51
2860,-3371.74,-3372.55
2870,-3371.74,-3372.6
2880,-3371.74,-3372.66
2890,-3371.74,-3372.71
2900,-3371.74,-3372.77
2910,-3371.74,-3372.82
2920,-3371.74,-3372.88
2930,-3371.74,-3372.92
2940,-3371.74,-3372.97
2950,-3371.74,-3373
2960,-3371.74,-3373.03
2970,-3371.74,-3373.05
2980,-3371.74,-3373.06
2990,-3371.74,-3373.07
3000,-3371.74,-3373.07
3010,-3371.74,-3373.06
3020,-3371.73,-3373.05
3030,-3371.73,-3373.03
3040,-3371.73,-3373
3050,-3371.73,-3372.97
3060,-3371.73,-3372.94
3070,-3371.73,-3372.9
3080,-3371.73,-3372.87
3090,-3371.73,-3372.83
3100,-3371.73,-3372.79
3110,-3371.73,-3372.75
3120,-3371.73,-3372.71
3130,-3371.73,-3372.67
3140,-3371.73,-3372.64
3150,-3371.73,-3372.6
3160,-3371.73,-3372.58
3170,-3371.73,-3372.55
3180,-3371.73,-3372.53
3190,-3371.73,-3372.51
3200,-3371.73,-3372.49
3210,-3371.74,-3372.48
3220,-3371.74,-3372.47
3230,-3371.74,-3372.46
3240,-3371.74,-3372.46
3250,-3371.74,-3372.46
3260,-3371.74,-3372.46
3270,-3371.74,-3372.47
3280,-3371.74,-3372.48
3290,-3371.74,-3372.49
3300,-3371.74,-3372.51
3310,-3371.74,-3372.54
3320,-3371.74,-3372.56
3330,-3371.74,-3372.6
3340,-3371.74,-3372.63
3350,-3371.74,-3372.67
3360,-3371.74,-3372.7
3370,-3371.74,-3372.74
3380,-3371.74,-3372.78
3390,-3371.74,-3372.81
3400,-3371.74,-3372.84
3410,-3371.74,-3372.87
3420,-3371.74,-3372.89
3430,-3371.74,-3372.9
3440,-3371.74,-3372.91
3450,-3371.74,-3372.9
3460,-3371.73,-3372.89
3470,-3371.73,-3372.88
3480,-3371.73,-3372.86
3490,-3371.73,-3372.83
3500,-3371.73,-3372.8
3510,-3371.73,-3372.77
3520,-3371.73,-3372.74
3530,-3371.73,-3372.71
3540,-3371.73,-3372.68
3550,-3371.73,-3372.65
3560,-3371.73,-3372.63
3570,-3371.73,-3372.61
3580,-3371.73,-3372.6
3590,-3371.74,-3372.59
3600,-3371.74,-3372.58
3610,-3371.74,-3372.58
3620,-3371.74,-3372.58
3630,-3371.74,-3372.59
3640,-3371.74,-3372.59
3650,-3371.74,-3372.6
3660,-3371.74,-3372.61
3670,-3371.74,-3372.62
3680,-3371.74,-3372.64
3690,-3371.74,-3372.65
3700,-3371.74,-3372.66
3710,-3371.74,-3372.67
3720,-3371.74,-3372.68
3730,-3371.74,-3372.69
3740,-3371.74,-3372.7
3750,-3371.74,-3372.72
3760,-3371.74,-3372.73
3770,-3371.74,-3372.74
3780,-3371.74,-3372.75
3790,-3371.74,-3372.77
3800,-3371.74,-3372.78
3810,-3371.74,-3372.8
3820,-3371.74,-3372.81
3830,-3371.74,-3372.83
3840,-3371.74,-3372.84
3850,-3371.74,-3372.86
3860,-3371.74,-3372.86
