iteration,total_energy,potential_energy
3870,-3371.74,-3372.87
3880,-3371.74,-3372.87
3890,-3371.74,-3372.86
3900,-3371.73,-3372.85
3910,-3371.73,-3372.84
3920,-3371.73,-3372.81
3930,-3371.73,-3372.79
3940,-3371.73,-3372.75
3950,-3371.73,-3372.72
3960,-3371.73,-3372.68
3970,-3371.73,-3372.64
3980,-3371.73,-3372.61
3990,-3371.73,-3372.57
4000,-3371.73,-3372.55
4010,-3371.73,-3372.53
4020,-3371.74,-3372.51
4030,-3371.74,-3372.51
4040,-3371.74,-3372.51
4050,-3371.74,-3372.51
4060,-3371.74,-3372.53
4070,-3371.74,-3372.54
4080,-3371.74,-3372.57
4090,-3371.74,-3372.59
4100,-3371.74,-3372.62
4110,-3371.74,-3372.65
4120,-3371.74,-3372.68
4130,-3371.74,-3372.71
4140,-3371.74,-3372.73
4150,-3371.74,-3372.76
4160,-3371.74,-3372.78
4170,-3371.74,-3372.81
4180,-3371.74,-3372.83
4190,-3371.74,-3372.85
4200,-3371.74,-3372.86
4210,-3371.74,-3372.88
4220,-3371.74,-3372.89
4230,-3371.74,-3372.91
4240,-3371.74,-3372.92
4250,-3371.74,-3372.93
4260,-3371.74,-3372.94
4270,-3371.74,-3372.95
4280,-3371.74,-3372.95
4290,-3371.74,-3372.95
4300,-3371.74,-3372.95
4310,-3371.74,-3372.94
4320,-3371.73,-3372.93
4330,-3371.73,-3372.91
4340,-3371.73,-3372.89
4350,-3371.73,-3372.86
4360,-3371.73,-3372.83
4370,-3371.73,-3372.79
4380,-3371.73,-3372.75
4390,-3371.73,-3372.71
4400,-3371.73,-3372.66
4410,-3371.73,-3372.62
4420,-3371.73,-3372.57
4430,-3371.73,-3372.52
4440,-3371.73,-3372.48
4450,-3371.73,-3372.44
4460,-3371.73,-3372.4
4470,-3371.73,-3372.36
4480,-3371.73,-3372.33
4490,-3371.73,-3372.31
4500,-3371.73,-3372.29
4510,-3371.74,-3372.28
4520,-3371.74,-3372.28
4530,-3371.74,-3372.28
4540,-3371.74,-3372.3
4550,-3371.74,-3372.32
4560,-3371.74,-3372.35
4570,-3371.74,-3372.39
4580,-3371.74,-3372.43
4590,-3371.74,-3372.47
4600,-3371.74,-3372.52
4610,-3371.74,-3372.57
4620,-3371.74,-3372.62
4630,-3371.74,-3372.68
4640,-3371.74,-3372.72
4650,-3371.74,-3372.77
4660,-3371.74,-3372.82
4670,-3371.74,-3372.86
4680,-3371.74,-3372.9
4690,-3371.74,-3372.93
4700,-3371.74,-3372.97
4710,-3371.74,-3373
4720,-3371.74,-3373.03
4730,-3371.74,-3373.05
4740,-3371.74,-3373.07
4750,-3371.74,-3373.09
4760,-3371.74,-3373.1
4770,-3371.74,-3373.1
4780,-3371.74,-3373.1
4790,-3371.73,-3373.09
4800,-3371.73,-3373.07
4810,-3371.73,-3373.04
4820,-3371.73,-3373.01
4830,-3371.73,-3372.96
4840,-3371.73,-3372.92
4850,-3371.73,-3372.86
4860,-3371.73,-3372.81
4870,-3371.73,-3372.75
4880,-3371.73,-3372.69
4890,-3371.73,-3372.64
4900,-3371.73,-3372.58
4910,-3371.73,-3372.53
4920,-3371.73,-3372.48
4930,-3371.73,-3372.43
4940,-3371.73,-3372.39
4950,-3371.73,-3372.36
4960,-3371.73,-3372.34
4970,-3371.74,-3372.32
4980,-3371.74,-3372.32
4990,-3371.74,-3372.33
