iteration,total_energy,potential_energy
0,-3342.86,-3342.86
10,-3342.95,-3343.53
20,-3343.62,-3344.72
30,-3344.71,-3346.1
40,-3346,-3347.5
50,-3347.34,-3348.85
60,-3348.65,-3350.12
70,-3349.9,-3351.3
80,-3351.08,-3352.39
90,-3352.16,-3353.4
100,-3353.17,-3354.34
110,-3354.11,-3355.21
120,-3354.98,-3356.03
130,-3355.8,-3356.79
140,-3356.56,-3357.5
150,-3357.27,-3358.17
160,-3357.94,-3358.8
170,-3358.57,-3359.39
180,-3359.17,-3359.95
190,-3359.73,-3360.48
200,-3360.26,-3360.99
210,-3360.76,-3361.47
220,-3361.24,-3361.92
230,-3361.7,-3362.36
240,-3362.13,-3362.77
250,-3362.55,-3363.17
260,-3362.94,-3363.55
270,-3363.33,-3363.92
280,-3363.69,-3364.28
290,-3364.05,-3364.62
300,-3364.39,-3364.94
310,-3364.72,-3365.26
320,-3365.03,-3365.57
330,-3365.34,-3365.86
340,-3365.63,-3366.15
350,-3365.92,-3366.43
360,-3366.2,-3366.69
370,-3366.46,-3366.95
380,-3366.72,-3367.21
390,-3366.98,-3367.45
400,-3367.22,-3367.69
410,-3367.46,-3367.92
420,-3367.69,-3368.14
430,-3367.91,-3368.36
440,-3368.13,-3368.57
450,-3368.34,-3368.77
460,-3368.54,-3368.97
470,-3368.74,-3369.16
480,-3368.93,-3369.35
490,-3369.11,-3369.53
500,-3369.29,-3369.7
510,-3369.47,-3369.87
520,-3369.64,-3370.04
530,-3369.8,-3370.2
540,-3369.96,-3370.35
550,-3370.12,-3370.5
560,-3370.27,-3370.65
570,-3370.41,-3370.79
580,-3370.55,-3370.92
590,-3370.69,-3371.06
600,-3370.82,-3371.18
610,-3370.95,-3371.31
620,-3371.07,-3371.43
630,-3371.19,-3371.54
640,-3371.31,-3371.65
650,-3371.42,-3371.76
660,-3371.53,-3371.87
670,-3371.63,-3371.97
680,-3371.73,-3372.06
690,-3371.83,-3372.16
700,-3371.92,-3372.25
710,-3372.01,-3372.33
720,-3372.1,-3372.42
730,-3372.18,-3372.5
740,-3372.26,-3372.57
750,-3372.34,-3372.65
760,-3372.41,-3372.72
770,-3372.48,-3372.78
780,-3372.55,-3372.85
790,-3372.61,-3372.91
800,-3372.67,-3372.97
810,-3372.73,-3373.03
820,-3372.79,-3373.08
830,-3372.84,-3373.13
840,-3372.89,-3373.18
850,-3372.94,-3373.22
860,-3372.99,-3373.27
