iteration,total_energy,potential_energy
2190,-3371.63,-3373.21
2200,-3371.63,-3373.23
2210,-3371.63,-3373.23
2220,-3371.63,-3373.23
2230,-3371.63,-3373.21
2240,-3371.63,-3373.18
2250,-3371.63,-3373.15
2260,-3371.63,-3373.1
2270,-3371.63,-3373.05
2280,-3371.62,-3372.98
2290,-3371.62,-3372.92
2300,-3371.62,-3372.85
2310,-3371.62,-3372.78
2320,-3371.62,-3372.71
2330,-3371.62,-3372.63
2340,-3371.62,-3372.56
2350,-3371.62,-3372.49
2360,-3371.62,-3372.43
2370,-3371.63,-3372.37
2380,-3371.63,-3372.32
2390,-3371.63,-3372.27
2400,-3371.63,-3372.23
2410,-3371.63,-3372.19
2420,-3371.63,-3372.17
2430,-3371.63,-3372.15
2440,-3371.63,-3372.14
2450,-3371.63,-3372.14
2460,-3371.63,-3372.14
2470,-3371.63,-3372.15
2480,-3371.63,-3372.17
2490,-3371.63,-3372.2
2500,-3371.63,-3372.24
2510,-3371.63,-3372.28
2520,-3371.63,-3372.33
2530,-3371.63,-3372.38
2540,-3371.63,-3372.44
2550,-3371.63,-3372.5
2560,-3371.63,-3372.57
2570,-3371.63,-3372.63
2580,-3371.63,-3372.7
2590,-3371.63,-3372.77
2600,-3371.63,-3372.83
2610,-3371.63,-3372.89
2620,-3371.63,-3372.95
2630,-3371.63,-3373
2640,-3371.63,-3373.05
2650,-3371.63,-3373.09
2660,-3371.63,-3373.12
2670,-3371.63,-3373.14
2680,-3371.63,-3373.16
2690,-3371.63,-3373.17
2700,-3371.63,-3373.16
2710,-3371.63,-3373.16
2720,-3371.63,-3373.14
2730,-3371.63,-3373.12
2740,-3371.63,-3373.09
2750,-3371.63,-3373.05
2760,-3371.63,-3373.01
2770,-3371.63,-3372.96
2780,-3371.63,-3372.91
2790,-3371.63,-3372.86
2800,-3371.63,-3372.81
2810,-3371.63,-3372.75
2820,-3371.63,-3372.69
2830,-3371.63,-3372.64
2840,-3371.63,-3372.58
2850,-3371.63,-3372.53
2860,-3371.63,-3372.48
2870,-3371.63,-3372.43
2880,-3371.63,-3372.39
2890,-3371.63,-3372.35
2900,-3371.63,-3372.31
2910,-3371.63,-3372.29
2920,-3371.63,-3372.27
2930,-3371.63,-3372.26
2940,-3371.63,-3372.25
2950,-3371.63,-3372.26
2960,-3371.63,-3372.28
2970,-3371.63,-3372.3
2980,-3371.63,-3372.33
2990,-3371.63,-3372.37
3000,-3371.63,-3372.42
3010,-3371.63,-3372.48
3020,-3371.63,-3372.54
3030,-3371.63,-3372.6
3040,-3371.63,-3372.67
3050,-3371.63,-3372.73
3060,-3371.63,-3372.79
3070,-3371.63,-3372.85
3080,-3371.63,-3372.91
3090,-3371.63,-3372.95
3100,-3371.63,-3372.99
3110,-3371.63,-3373.02
3120,-3371.63,-3373.05
3130,-3371.63,-3373.06
3140,-3371.63,-3373.07
3150,-3371.63,-3373.07
3160,-3371.63,-3373.06
3170,-3371.63,-3373.05
3180,-3371.63,-3373.03
3190,-3371.63,-3373
3200,-3371.63,-3372.98
3210,-3371.63,-3372.95
3220,-3371.63,-3372.92
3230,-3371.63,-3372.88
3240,-3371.63,-3372.85
3250,-3371.63,-3372.82
3260,-3371.63,-3372.78
3270,-3371.63,-3372.75
3280,-3371.63,-3372.72
3290,-3371.63,-3372.69
3300,-3371.63,-3372.66
3310,-3371.63,-3372.63
3320,-3371.63,-3372.6
3330,-3371.63,-3372.58
3340,-3371.63,-3372.55
3350,-3371.63,-3372.53
3360,-3371.63,-3372.52
3370,-3371.63,-3372.5
3380,-3371.63,-3372.49
3390,-3371.63,-3372.48
3400,-3371.63,-3372.47
3410,-3371.63,-3372.47
3420,-3371.63,-3372.47
3430,-3371.63,-3372.47
3440,-3371.63,-3372.48
3450,-3371.63,-3372.49
3460,-3371.63,-3372.5
3470,-3371.63,-3372.52
3480,-3371.63,-3372.54
3490,-3371.63,-3372.56
3500,-3371.63,-3372.58
3510,-3371.63,-3372.61
3520,-3371.63,-3372.63
