iteration,total_energy,potential_energy
0,-3342.86,-3342.86
10,-3343,-3343.45
20,-3343.62,-3344.54
30,-3344.63,-3345.82
40,-3345.83,-3347.13
50,-3347.09,-3348.41
60,-3348.34,-3349.62
70,-3349.53,-3350.76
80,-3350.65,-3351.81
90,-3351.7,-3352.78
100,-3352.67,-3353.68
110,-3353.57,-3354.52
120,-3354.41,-3355.31
130,-3355.2,-3356.04
140,-3355.93,-3356.72
150,-3356.61,-3357.37
160,-3357.26,-3357.97
170,-3357.86,-3358.54
180,-3358.43,-3359.08
190,-3358.97,-3359.59
200,-3359.48,-3360.07
210,-3359.96,-3360.53
220,-3360.42,-3360.97
230,-3360.86,-3361.38
240,-3361.28,-3361.78
250,-3361.67,-3362.16
260,-3362.05,-3362.53
270,-3362.42,-3362.88
280,-3362.77,-3363.22
290,-3363.11,-3363.54
300,-3363.43,-3363.85
310,-3363.74,-3364.15
320,-3364.04,-3364.44
330,-3364.33,-3364.72
340,-3364.61,-3365
350,-3364.89,-3365.26
360,-3365.15,-3365.51
370,-3365.4,-3365.76
380,-3365.65,-3366
390,-3365.89,-3366.23
400,-3366.12,-3366.46
410,-3366.35,-3366.68
420,-3366.57,-3366.89
430,-3366.78,-3367.1
440,-3366.99,-3367.3
450,-3367.19,-3367.5
460,-3367.39,-3367.69
470,-3367.58,-3367.88
480,-3367.77,-3368.06
490,-3367.95,-3368.24
500,-3368.12,-3368.41
510,-3368.3,-3368.58
520,-3368.46,-3368.74
530,-3368.63,-3368.9
540,-3368.78,-3369.05
550,-3368.94,-3369.2
560,-3369.09,-3369.35
570,-3369.24,-3369.49
580,-3369.38,-3369.63
590,-3369.52,-3369.77
600,-3369.66,-3369.9
610,-3369.79,-3370.03
620,-3369.92,-3370.16
630,-3370.04,-3370.28
640,-3370.16,-3370.4
650,-3370.28,-3370.52
660,-3370.4,-3370.63
670,-3370.51,-3370.74
680,-3370.62,-3370.85
690,-3370.73,-3370.95
700,-3370.84,-3371.05
710,-3370.94,-3371.15
720,-3371.04,-3371.25
730,-3371.13,-3371.34
740,-3371.23,-3371.43
750,-3371.32,-3371.52
760,-3371.41,-3371.61
770,-3371.49,-3371.69
780,-3371.58,-3371.77
790,-3371.66,-3371.85
800,-3371.74,-3371.93
810,-3371.81,-3372
820,-3371.89,-3372.08
830,-3371.96,-3372.15
840,-3372.03,-3372.22
850,-3372.1,-3372.28
860,-3372.17,-3372.35
870,-3372.23,-3372.41
880,-3372.29,-3372.47
890,-3372.35,-3372.53
900,-3372.41,-3372.59
910,-3372.47,-3372.64
920,-3372.52,-3372.69
930,-3372.58,-3372.75
940,-3372.63,-3372.8
950,-3372.68,-3372.84
960,-3372.73,-3372.89
970,-3372.77,-3372.94
980,-3372.82,-3372.98
990,-3372.86,-3373.02
1000,-3372.9,-3373.06
1010,-3372.94,-3373.1
1020,-3372.98,-3373.14
1030,-3373.02,-3373.17
1040,-3373.05,-3373.21
1050,-3373.09,-3373.24
1060,-3373.12,-3373.27
1070,-3373.15,-3373.3
1080,-3373.18,-3373.33
1090,-3373.21,-3373.35
1100,-3373.24,-3373.38
1110,-3373.26,-3373.41
1120,-3373.29,-3373.43
1130,-3373.31,-3373.45
1140,-3373.33,-3373.47
1150,-3373.35,-3373.49
1160,-3373.37,-3373.51
1170,-3373.39,-3373.53
1180,-3373.41,-3373.54
1190,-3373.43,-3373.56
1200,-3373.44,-3373.57
1210,-3373.45,-3373.59
1220,-3373.47,-3373.6
1230,-3373.48,-3373.61
1240,-3373.49,-3373.62
1250,-3373.5,-3373.63
1260,-3373.51,-3373.64
1270,-3373.52,-3373.64
1280,-3373.52,-3373.65
1290,-3373.53,-3373.65
1300,-3373.53,-3373.66
1310,-3373.54,-3373.66
1320,-3373.54,-3373.66
1330,-3373.54,-3373.66
1340,-3373.54,-3373.66
1350,-3373.54,-3373.66
1360,-3373.54,-3373.66
1370,-3373.54,-3373.66
1380,-3373.54,-3373.66
1390,-3373.54,-3373.65
1400,-3373.53,-3373.65
1410,-3373.53,-3373.64
1420,-3373.52,-3373.64
1430,-3373.52,-3373.63
1440,-3373.51,-3373.62
1450,-3373.5,-3373.61
1460,-3373.49,-3373.6
1470,-3373.48,-3373.59
1480,-3373.47,-3373.58
1490,-3373.46,-3373.57
1500,-3373.45,-3373.56
1510,-3373.44,-3373.55
1520,-3373.43,-3373.53
1530,-3373.41,-3373.52
1540,-3373.4,-3373.51
1550,-3373.39,-3373.49
1560,-3373.37,-3373.48
1570,-3373.36,-3373.46
1580,-3373.34,-3373.44
1590,-3373.32,-3373.43
1600,-3373.31,-3373.41
1610,-3373.29,-3373.39
1620,-3373.27,-3373.38
1630,-3373.26,-3373.36
1640,-3373.24,-3373.34
1650,-3373.22,-3373.32
1660,-3373.2,-3373.3
1670,-3373.18,-3373.29
1680,-3373.17,-3373.27
1690,-3373.15,-3373.25
1700,-3373.13,-3373.24
1710,-3373.12,-3373.22
1720,-3373.1,-3373.21
1730,-3373.09,-3373.19
1740,-3373.07,-3373.18
1750,-3373.06,-3373.17
1760,-3373.05,-3373.17
1770,-3373.05,-3373.16
1780,-3373.04,-3373.16
1790,-3373.04,-3373.16
1800,-3373.04,-3373.16
1810,-3373.04,-3373.16
1820,-3373.04,-3373.17
1830,-3373.05,-3373.18
1840,-3373.06,-3373.19
1850,-3373.07,-3373.2
1860,-3373.09,-3373.22
1870,-3373.1,-3373.24
1880,-3373.12,-3373.25
1890,-3373.14,-3373.27
1900,-3373.15,-3373.29
1910,-3373.17,-3373.31
1920,-3373.19,-3373.33
1930,-3373.22,-3373.35
1940,-3373.24,-3373.37
1950,-3373.26,-3373.4
1960,-3373.28,-3373.42
1970,-3373.3,-3373.44
1980,-3373.32,-3373.45
1990,-3373.34,-3373.47
2000,-3373.36,-3373.49
2010,-3373.36,-3373.51
2020,-3373.36,-3373.53
2030,-3373.36,-3373.55
2040,-3373.35,-3373.56
2050,-3373.35,-3373.58
2060,-3373.35,-3373.6
2070,-3373.35,-3373.61
2080,-3373.35,-3373.62
2090,-3373.35,-3373.64
2100,-3373.35,-3373.64
2110,-3373.35,-3373.65
2120,-3373.35,-3373.66
2130,-3373.35,-3373.66
2140,-3373.35,-3373.66
2150,-3373.35,-3373.66
2160,-3373.35,-3373.65
2170,-3373.35,-3373.64
2180,-3373.35,-3373.64
2190,-3373.35,-3373.62
2200,-3373.35,-3373.61
2210,-3373.35,-3373.59
2220,-3373.35,-3373.58
2230,-3373.35,-3373.56
2240,-3373.35,-3373.54
2250,-3373.35,-3373.52
2260,-3373.35,-3373.5
2270,-3373.35,-3373.48
2280,-3373.35,-3373.46
2290,-3373.35,-3373.44
2300,-3373.35,-3373.42
2310,-3373.35,-3373.41
2320,-3373.35,-3373.39
2330,-3373.35,-3373.38
2340,-3373.35,-3373.37
2350,-3373.35,-3373.36
2360,-3373.35,-3373.36
2370,-3373.35,-3373.36
2380,-3373.35,-3373.36
2390,-3373.35,-3373.36
2400,-3373.35,-3373.36
2410,-3373.35,-3373.37
2420,-3373.35,-3373.38
2430,-3373.35,-3373.4
2440,-3373.35,-3373.41
2450,-3373.35,-3373.43
2460,-3373.36,-3373.44
2470,-3373.36,-3373.46
2480,-3373.36,-3373.48
2490,-3373.36,-3373.5
2500,-3373.36,-3373.52
2510,-3373.36,-3373.54
2520,-3373.36,-3373.56
2530,-3373.36,-3373.58
2540,-3373.35,-3373.6
2550,-3373.35,-3373.61
2560,-3373.35,-3373.63
2570,-3373.35,-3373.64
2580,-3373.35,-3373.65
2590,-3373.35,-3373.65
2600,-3373.35,-3373.66
2610,-3373.35,-3373.66
2620,-3373.35,-3373.66
2630,-3373.35,-3373.66
2640,-3373.35,-3373.65
2650,-3373.35,-3373.64
2660,-3373.35,-3373.63
2670,-3373.35,-3373.62
2680,-3373.35,-3373.61
2690,-3373.35,-3373.59
2700,-3373.35,-3373.58
2710,-3373.35,-3373.56
2720,-3373.35,-3373.54
2730,-3373.35,-3373.52
2740,-3373.35,-3373.51
2750,-3373.35,-3373.49
2760,-3373.35,-3373.47
2770,-3373.35,-3373.45
2780,-3373.35,-3373.44
2790,-3373.35,-3373.42
2800,-3373.35,-3373.41
2810,-3373.35,-3373.4
2820,-3373.35,-3373.39
2830,-3373.35,-3373.38
2840,-3373.35,-3373.38
2850,-3373.35,-3373.37
2860,-3373.35,-3373.37
2870,-3373.35,-3373.37
2880,-3373.35,-3373.38
2890,-3373.35,-3373.38
2900,-3373.35,-3373.39
2910,-3373.35,-3373.4
2920,-3373.35,-3373.41
2930,-3373.35,-3373.42
2940,-3373.35,-3373.43
2950,-3373.35,-3373.45
2960,-3373.35,-3373.46
2970,-3373.35,-3373.48
2980,-3373.35,-3373.49
2990,-3373.35,-3373.51
3000,-3373.35,-3373.53
3010,-3373.35,-3373.54
3020,-3373.35,-3373.56
3030,-3373.35,-3373.57
3040,-3373.35,-3373.58
3050,-3373.35,-3373.59
3060,-3373.35,-3373.6
3070,-3373.35,-3373.61
3080,-3373.35,-3373.62
3090,-3373.35,-3373.62
3100,-3373.35,-3373.63
3110,-3373.35,-3373.63
3120,-3373.35,-3373.62
3130,-3373.35,-3373.62
3140,-3373.35,-3373.62
3150,-3373.35,-3373.61
3160,-3373.35,-3373.6
3170,-3373.35,-3373.59
3180,-3373.35,-3373.58
3190,-3373.35,-3373.57
3200,-3373.35,-3373.56
3210,-3373.35,-3373.55
3220,-3373.35,-3373.53
3230,-3373.35,-3373.52
3240,-3373.35,-3373.51
3250,-3373.35,-3373.49
3260,-3373.35,-3373.48
3270,-3373.35,-3373.47
3280,-3373.35,-3373.46
3290,-3373.35,-3373.45
3300,-3373.35,-3373.44
3310,-3373.35,-3373.44
3320,-3373.35,-3373.43
3330,-3373.35,-3373.43
3340,-3373.35,-3373.42
3350,-3373.35,-3373.42
3360,-3373.35,-3373.42
3370,-3373.35,-3373.42
3380,-3373.35,-3373.43
3390,-3373.35,-3373.43
3400,-3373.35,-3373.44
3410,-3373.35,-3373.44
3420,-3373.35,-3373.45
3430,-3373.35,-3373.46
3440,-3373.35,-3373.47
3450,-3373.35,-3373.48
3460,-3373.35,-3373.49
3470,-3373.35,-3373.5
3480,-3373.35,-3373.51
3490,-3373.35,-3373.51
3500,-3373.35,-3373.52
