iteration,total_energy,potential_energy
3510,-3373.35,-3373.53
3520,-3373.35,-3373.54
3530,-3373.35,-3373.54
3540,-3373.35,-3373.55
3550,-3373.35,-3373.55
3560,-3373.35,-3373.56
3570,-3373.35,-3373.56
3580,-3373.35,-3373.56
3590,-3373.35,-3373.56
3600,-3373.35,-3373.57
3610,-3373.35,-3373.56
3620,-3373.35,-3373.56
3630,-3373.35,-3373.56
3640,-3373.35,-3373.56
3650,-3373.35,-3373.56
3660,-3373.35,-3373.56
3670,-3373.35,-3373.55
3680,-3373.35,-3373.55
3690,-3373.35,-3373.54
3700,-3373.35,-3373.54
3710,-3373.35,-3373.54
3720,-3373.35,-3373.53
3730,-3373.35,-3373.53
3740,-3373.35,-3373.52
3750,-3373.35,-3373.52
3760,-3373.35,-3373.52
3770,-3373.35,-3373.51
3780,-3373.35,-3373.51
3790,-3373.35,-3373.5
3800,-3373.35,-3373.5
3810,-3373.35,-3373.5
3820,-3373.35,-3373.49
3830,-3373.35,-3373.49
3840,-3373.35,-3373.49
3850,-3373.35,-3373.48
3860,-3373.35,-3373.48
3870,-3373.35,-3373.48
3880,-3373.35,-3373.48
3890,-3373.35,-3373.48
3900,-3373.35,-3373.48
3910,-3373.35,-3373.47
3920,-3373.35,-3373.47
3930,-3373.35,-3373.47
3940,-3373.35,-3373.47
3950,-3373.35,-3373.47
3960,-3373.35,-3373.47
3970,-3373.35,-3373.47
3980,-3373.35,-3373.47
3990,-3373.35,-3373.47
4000,-3373.35,-3373.47
4010,-3373.35,-3373.48
4020,-3373.35,-3373.48
4030,-3373.35,-3373.48
4040,-3373.35,-3373.48
4050,-3373.35,-3373.48
4060,-3373.35,-3373.49
4070,-3373.35,-3373.49
4080,-3373.35,-3373.49
4090,-3373.35,-3373.5
4100,-3373.35,-3373.5
4110,-3373.35,-3373.51
4120,-3373.35,-3373.51
4130,-3373.35,-3373.52
4140,-3373.35,-3373.52
4150,-3373.35,-3373.53
4160,-3373.35,-3373.54
4170,-3373.35,-3373.54
4180,-3373.35,-3373.55
4190,-3373.35,-3373.55
4200,-3373.35,-3373.56
4210,-3373.35,-3373.56
4220,-3373.35,-3373.56
4230,-3373.35,-3373.57
4240,-3373.35,-3373.57
4250,-3373.35,-3373.57
4260,-3373.35,-3373.57
4270,-3373.35,-3373.57
4280,-3373.35,-3373.57
4290,-3373.35,-3373.57
4300,-3373.35,-3373.57
4310,-3373.35,-3373.56
4320,-3373.35,-3373.56
4330,-3373.35,-3373.56
4340,-3373.35,-3373.55
4350,-3373.35,-3373.54
4360,-3373.35,-3373.53
4370,-3373.35,-3373.53
4380,-3373.35,-3373.52
4390,-3373.35,-3373.51
4400,-3373.35,-3373.5
4410,-3373.35,-3373.49
4420,-3373.35,-3373.48
4430,-3373.35,-3373.47
4440,-3373.35,-3373.46
4450,-3373.35,-3373.45
4460,-3373.35,-3373.44
4470,-3373.35,-3373.43
4480,-3373.35,-3373.43
4490,-3373.35,-3373.42
4500,-3373.35,-3373.42
4510,-3373.35,-3373.42
4520,-3373.35,-3373.42
4530,-3373.35,-3373.42
4540,-3373.35,-3373.42
4550,-3373.35,-3373.42
4560,-3373.35,-3373.43
4570,-3373.35,-3373.44
4580,-3373.35,-3373.44
4590,-3373.35,-3373.45
4600,-3373.35,-3373.46
4610,-3373.35,-3373.48
4620,-3373.35,-3373.49
4630,-3373.35,-3373.5
4640,-3373.35,-3373.52
4650,-3373.35,-3373.53
4660,-3373.35,-3373.55
4670,-3373.35,-3373.56
4680,-3373.35,-3373.57
4690,-3373.35,-3373.58
4700,-3373.35,-3373.6
4710,-3373.35,-3373.61
4720,-3373.35,-3373.61
4730,-3373.35,-3373.62
4740,-3373.35,-3373.63
4750,-3373.35,-3373.63
4760,-3373.35,-3373.63
4770,-3373.35,-3373.63
4780,-3373.35,-3373.63
4790,-3373.35,-3373.62
4800,-3373.35,-3373.62
4810,-3373.35,-3373.61
4820,-3373.35,-3373.6
4830,-3373.35,-3373.59
4840,-3373.35,-3373.57
4850,-3373.35,-3373.56
4860,-3373.35,-3373.54
4870,-3373.35,-3373.53
4880,-3373.35,-3373.51
4890,-3373.35,-3373.5
4900,-3373.35,-3373.48
4910,-3373.35,-3373.46
4920,-3373.35,-3373.45
4930,-3373.35,-3373.43
4940,-3373.35,-3373.42
4950,-3373.35,-3373.41
4960,-3373.35,-3373.4
4970,-3373.35,-3373.39
4980,-3373.35,-3373.38
4990,-3373.35,-3373.37
