iteration,total_energy,average_temp,potential_energy
0,-13750.2,539.795,-14020.3
1,-13711.2,574.205,-13991.7
2,-13673.2,607,-13980.4
3,-13634.3,640.785,-13955.9
4,-13595.8,671.591,-13929.5
5,-13556.5,702.758,-13910
6,-13517.2,732.663,-13885.5
7,-13479.3,760.491,-13858.4
8,-13439.8,784.707,-13829.9
9,-13401.5,809.261,-13801.7
10,-13363.1,831.173,-13772.9
11,-13324.7,852.498,-13754
12,-13286.7,870.77,-13715.1
13,-13246.7,894.03,-13692.6
14,-13208.2,892.168,-13646.6
15,-13170.1,895.301,-13610.4
16,-13131,885.767,-13567.2
17,-13092.8,890.151,-13537.8
18,-13053.7,899.476,-13502.9
19,-13015.6,916.234,-13474.5
20,-12976.1,936.806,-13442.5
