iteration,total_energy,average_temp,potential_energy
0,-1969.99,461.623,-2004.77
1,-1964.55,496.698,-1979.72
2,-1958.91,519.619,-1995.69
3,-1953.3,551.695,-1995.55
4,-1947.68,585.851,-1989
5,-1942.09,613.775,-1985.43
6,-1936.44,651.328,-1984.85
7,-1930.86,675.329,-1980.58
8,-1925.26,707.208,-1977.94
9,-1919.66,726.708,-1971.52
10,-1914.02,753.903,-1964.81
11,-1908.43,764.133,-1962.48
12,-1902.81,757.116,-1955.27
13,-1897.17,773.754,-1953.43
14,-1891.59,805.19,-1948.25
15,-1885.95,800.452,-1944.67
16,-1880.35,815.491,-1940.78
17,-1874.73,815.994,-1934.43
18,-1869.13,839.13,-1928.19
19,-1863.51,868.92,-1926.97
20,-1857.87,896.079,-1924.96
21,-1852.28,924.698,-1918.64
22,-1846.69,938.643,-1913.9
23,-1841.09,976.402,-1910.98
24,-1835.51,996.882,-1908.54
25,-1829.9,1033.39,-1903.37
