iteration,total_energy,average_temp,potential_energy
0,-511.175,298.307,-516.665
1,-509.779,331.689,-521.241
2,-508.31,366.196,-515.383
3,-506.853,395.581,-514.556
4,-505.378,429.253,-513.254
5,-503.906,462.933,-511.882
6,-502.446,488.875,-511.213
7,-500.964,525.723,-511.285
8,-499.494,555.143,-509.106
9,-498.025,582.34,-508.502
10,-496.557,608.773,-509.086
11,-495.089,629.29,-505.556
12,-493.614,631.122,-505.76
13,-492.163,646.388,-504.467
14,-490.685,646.097,-503.488
15,-489.204,657.157,-500.459
16,-487.735,679.483,-499.647
17,-486.285,719.427,-499.194
18,-484.815,739.092,-498.842
19,-483.34,786.561,-497.978
20,-481.851,820.451,-495.982
21,-480.379,822.172,-495.35
22,-478.908,849.854,-495.497
23,-477.47,870.654,-493.371
24,-475.987,911.998,-492.834
25,-474.51,936.384,-495.193
