iteration,total_energy,average_temp,potential_energy
0,-18235.9,432.795,-18503
1,-18184.7,473.636,-18494.3
2,-18134,510.524,-18509.3
3,-18083.7,548.254,-18500.1
4,-18033.4,579.805,-18415.5
5,-17981.8,619.713,-18402.7
6,-17931.2,643.735,-18366
7,-17880.2,675.963,-18316.6
8,-17829.5,705.788,-18289
9,-17778.7,738.327,-18266.6
10,-17727.7,770.919,-18229
11,-17677,797.666,-18196.1
12,-17625.9,824.013,-18170.9
13,-17575.3,848.848,-18128
14,-17524.5,865.793,-18106.1
15,-17473.7,892.963,-18069.1
16,-17422.9,911.996,-18015.3
17,-17372,922.383,-17964.9
18,-17321,938.535,-17919.1
19,-17270.4,944.772,-17888.3
20,-17219.5,950.85,-17845.9
21,-17168.8,952.049,-17783.7
22,-17118,965.558,-17734.5
23,-17067.1,972.37,-17691.3
24,-17016.1,982.526,-17660.9
25,-16965.5,1002.46,-17620.7
26,-16914.4,1016.13,-17580.6
27,-16863.8,1043.28,-17538.1
28,-16812.9,1071.82,-17520.5
29,-16762.1,1105.12,-17478.4
