iteration,total_energy,average_temp,potential_energy
0,-13824.1,479.233,-14064
1,-13785.7,511.24,-14050.3
2,-13746.9,551.339,-14003.5
3,-13708.1,585.757,-14024.3
4,-13669.8,622.854,-13948.7
5,-13630.5,648.755,-13963.2
6,-13591.2,680.283,-13942.4
7,-13552.4,709.902,-13925.2
8,-13513.7,737.854,-13902.2
9,-13475,767.688,-13862.6
10,-13436.3,795.976,-13844.4
11,-13397.5,821.199,-13822.3
12,-13358.9,850.601,-13791.3
13,-13320.2,872.948,-13766.1
14,-13281.4,894.541,-13739.8
15,-13242.7,914.314,-13705.2
16,-13204,922.777,-13660.8
17,-13165.3,927.653,-13634.2
18,-13126.7,929.893,-13592.1
19,-13088,931.078,-13547.8
20,-13049.3,941.43,-13516.8
21,-13010.5,955.234,-13477.9
22,-12971.8,967.415,-13442.3
23,-12933,974.809,-13419.2
24,-12894.4,1000.65,-13394
25,-12855.6,1023.58,-13360.8
26,-12817,1052.88,-13340.5

