iteration,total_energy,average_temp,potential_energy
0,-10179.1,534.722,-10391.3
1,-10149.8,572.183,-10373.6
2,-10121.2,600.204,-10332.2
3,-10092.5,629.248,-10321.2
4,-10063.7,662.053,-10307.3
5,-10035.1,691.41,-10294.8
6,-10006.4,721.529,-10271.4
7,-9977.65,746.718,-10258.8
8,-9948.97,779.387,-10239.2
9,-9920.28,801.823,-10215.4
10,-9891.68,823.606,-10192.4
11,-9862.93,840.388,-10171.4
12,-9834.26,854.521,-10146.2
13,-9805.54,858.468,-10121.4
14,-9776.94,875.498,-10101.4
15,-9748.22,882.581,-10070.2
16,-9719.45,884.043,-10046.3
17,-9690.67,888.099,-10017.3
18,-9662.06,898.296,-9993.8
19,-9633.41,912.188,-9961.83
20,-9604.67,930.417,-9946.19
21,-9576.08,955.738,-9927.68
22,-9547.35,984.484,-9912.23
