iteration,total_energy,average_temp,potential_energy
0,-13868.6,41.7649,-14072.9
1,-13852.3,43.3545,-14066.4
2,-13834.8,44.9421,-14052
3,-13818.7,46.4232,-14045.5
4,-13802.3,47.9215,-14035.1
5,-13786.7,49.336,-14027.3
6,-13770.1,50.7721,-14019.8
7,-13755.2,52.0849,-14007.9
8,-13740.3,53.3973,-13999.9
9,-13725,54.7533,-13995.6
10,-13711.6,55.9584,-13984.8
11,-13696.7,57.2381,-13974.9
12,-13683.7,58.4398,-13969.8
13,-13669.4,59.569,-13965.5
14,-13655.8,60.8154,-13954.3
15,-13642.8,61.7715,-13947.9
16,-13629.6,62.8829,-13940.9
17,-13616.8,63.9275,-13925.4
18,-13604.4,65.1677,-13922.7
19,-13591.5,66.0143,-13915.9
20,-13579.1,67.0811,-13901.7
21,-13567,68.031,-13894.4
22,-13555.7,69.1741,-13893
23,-13540.7,69.9578,-13884.3
24,-13530.1,70.876,-13881.3
25,-13516.7,71.5855,-13862
26,-13505.1,72.5152,-13857.5
27,-13491.9,73.2578,-13851.2
28,-13478.9,73.9202,-13842
29,-13466.9,74.6171,-13827
30,-13455.1,75.3555,-13829.1
31,-13442.9,76.2407,-13815.5
32,-13430.1,77.2405,-13812.7
33,-13417.8,77.8442,-13801
34,-13405.3,78.3128,-13790.9
35,-13392.5,79.2529,-13782.4
36,-13380,80.1169,-13774.4
37,-13369.7,80.7824,-13767.2
38,-13356.1,81.7101,-13756
39,-13344.8,82.1444,-13748.1
40,-13331.3,82.2535,-13742
41,-13319.6,82.224,-13715.9
42,-13306.4,82.0196,-13706.5
43,-13292.1,82.859,-13699.4
44,-13279.2,82.9136,-13683.2
45,-13265,83.237,-13671.6
46,-13249,83.1747,-13654.4
47,-13237.1,83.7416,-13645.4
48,-13222.1,83.7856,-13638.7
49,-13207.6,84.1425,-13622.7
50,-13193.3,84.0637,-13602.5
51,-13177.4,84.5063,-13589.3
52,-13161.9,84.8787,-13582.9
53,-13145.4,85.958,-13572.4
54,-13130.6,86.2723,-13557.6
55,-13113.8,86.1568,-13537.5
56,-13097.4,85.7375,-13519.2
57,-13081,87.0318,-13503.4
58,-13064.3,87.9854,-13495.8
59,-13048.3,88.4291,-13485.2
60,-13032.4,89.0539,-13468.9
61,-13015.5,89.2919,-13454.3
62,-12998.3,90.3091,-13447.5
63,-12982.3,92.1568,-13441.5
64,-12966.8,92.7852,-13430.2
65,-12950.5,93.8463,-13414.8
66,-12934.5,95.3701,-13407.5
67,-12918.4,96.3941,-13389
68,-12903.2,97.5466,-13389.8
69,-12888.8,98.5188,-13384.3
70,-12873.7,99.4006,-13362.3
71,-12859.8,100.66,-13376
72,-12845.7,101.972,-13349.1
73,-12830.5,102.193,-13333.9
74,-12817.7,103.571,-13325.6
75,-12801.6,104.51,-13320.5
76,-12788.4,105.744,-13312
77,-12774.9,106.45,-13312.3
78,-12761.1,107.565,-13297
79,-12747.4,108.633,-13280.3
80,-12734.7,109.464,-13283.6
81,-12722.7,110.693,-13256.8
82,-12708.5,111.544,-13261.8
83,-12696.1,112.572,-13261.2
84,-12684.1,113.565,-13250.3
85,-12673.3,114.235,-13246.3
86,-12661.4,115.026,-13229.6
87,-12646.8,116.007,-13224.8
88,-12637.3,116.071,-13218.2
89,-12625.2,117.782,-13215.3
90,-12613.8,118.389,-13207.1
91,-12602.1,119.471,-13197.5
92,-12591.5,120.385,-13191
93,-12579.7,121.191,-13194
94,-12569.8,121.06,-13166.5
95,-12558.5,122.371,-13160.8
96,-12550,123.255,-13157.7
97,-12536.4,124.29,-13151.3
98,-12527,124.728,-13152.3
99,-12516.8,125.709,-13133.9
100,-12505,125.929,-13136.9
101,-12497.6,127.128,-13118.1
102,-12486.3,127.324,-13126.1
103,-12477.7,128.392,-13111.2
104,-12467.5,128.95,-13109
105,-12457.9,130.026,-13102.3
106,-12449.4,130.652,-13097.3
107,-12439.9,130.893,-13073.3
108,-12430.8,132.141,-13089.4
109,-12419.7,132.981,-13090.3
110,-12413.1,133.529,-13075.4
111,-12403.5,133.899,-13075.1
112,-12394.2,134.107,-13061.4
113,-12387.7,135.167,-13056.1
114,-12377,135.98,-13063.4
115,-12371.1,137.072,-13049.2
116,-12362.8,137.416,-13040.4
117,-12354.7,137.922,-13036.9
118,-12345,138.45,-13040.6
119,-12336.5,138.504,-13023.4
120,-12331.2,139.234,-13032.4
121,-12321.5,140.67,-13017.6
122,-12313.8,140.552,-13010.6
123,-12306,140.985,-13002.5
124,-12296.9,141.842,-12993.2
125,-12291.8,142.164,-12995.9
126,-12284.2,142.738,-12994.3
127,-12276.5,143.628,-12982.6
128,-12269.7,143.649,-12994.4
129,-12264.2,144.754,-12986.1
130,-12255.2,144.458,-12987.5
