iteration,total_energy,average_temp,potential_energy
0,-10181.4,525.784,-10376.3
1,-10152.4,558.909,-10370.9
2,-10124.3,593.199,-10346
3,-10095.7,625.721,-10333.4
4,-10067,657.312,-10310.3
5,-10037.7,689.707,-10292.8
6,-10009.5,718.727,-10272.4
7,-9981.16,746.409,-10253.7
8,-9952.44,771.866,-10233
9,-9923.11,797.002,-10216.6
10,-9893.84,818.349,-10193.4
11,-9866.86,833.835,-10172.2
12,-9838.25,858.424,-10158.1
13,-9809.25,871.825,-10124.2
14,-9779.36,885.446,-10105.3
15,-9751.39,883.988,-10077.1
16,-9723.08,886.072,-10049.7
17,-9694.19,894.119,-10016.5
18,-9665.21,901.678,-10004.6
19,-9637.8,907.359,-9966.41
20,-9607.63,922.714,-9956.97
21,-9579.41,953.813,-9928.44
22,-9550.07,976.013,-9920.8
23,-9522.19,1009.88,-9897
24,-9493.06,1038.78,-9875.23
25,-9463.16,1067.21,-9854.3
26,-9436.04,1092.47,-9838.68
27,-9406.46,1127.57,-9830.7
28,-9378.31,1151.28,-9805.66
29,-9349,1179.58,-9783.63
30,-9322.27,1210.18,-9770.55
31,-9292.82,1236.42,-9750.16
32,-9264.04,1263.53,-9742.6
33,-9235.92,1298.26,-9713.67
34,-9205.96,1320.57,-9696.47
35,-9178.25,1345.91,-9681.39
36,-9149.16,1383.14,-9656.5
37,-9120.08,1409.63,-9646.97
38,-9090.19,1440.78,-9623.72
39,-9061.69,1470.69,-9614.18
40,-9034.79,1491.66,-9585.84
41,-9004.99,1524.88,-9574.2
42,-8976.36,1552.42,-9544.74
43,-8947.94,1574.67,-9529.12
44,-8919.49,1615.49,-9523.82
45,-8890.4,1650.14,-9495.31
46,-8863.14,1665.35,-9481.34
47,-8833.67,1702.07,-9459.46
48,-8804.58,1731.85,-9444.93
49,-8776.23,1755.42,-9441.22
50,-8749.11,1786.04,-9405.2
51,-8718.55,1826.33,-9400.72
52,-8688.17,1842.57,-9381.63
53,-8662.19,1888.93,-9376.05
54,-8631.92,1913.59,-9326.96
55,-8602,1944.76,-9311.66
56,-8574.89,1964.64,-9291.68
57,-8545.89,1987.55,-9292.73
58,-8517.44,2022.63,-9266.84
59,-8487.86,2049.81,-9240.52
60,-8459.68,2082.24,-9234.8
61,-8433.07,2109.46,-9205.22
62,-8403.72,2137.91,-9192.4
63,-8376.41,2174.04,-9198.71
64,-8346.02,2197.67,-9164.88
65,-8317.18,2228.16,-9155.3
66,-8286.75,2244.04,-9128.13
67,-8258.71,2282.5,-9097.65
68,-8229.16,2315.28,-9110.27
69,-8203.19,2322.26,-9064.51
70,-8174.51,2364.25,-9036.96
71,-8143.97,2411.4,-9036.54
72,-8116.05,2409.11,-9012.81
73,-8090.25,2440.52,-8989.37
74,-8059.38,2466.2,-8955.88
75,-8032.04,2493.13,-8948.12
